,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
ACID,AcidCoin,SHA-256,TRUE,PoW,,4500000000
AC3,AC3,X11,TRUE,PoW,80316207,550000000
ACC,AdCoin,Scrypt,TRUE,PoW,32646731.06,100000000
ADM,Adamant,DPoS,TRUE,DPoS,,200000000
ACM,Actinium,Lyra2Z,TRUE,PoW,13634850,84000000
AIB,AdvancedInternetBlock,Scrypt,TRUE,PoW,,3.14E+11
KEYC,KeyCoin,X13,FALSE,PoW/PoS,,1000000
ACP,Anarchists Prime,SHA-256,TRUE,PoW,14747200,53760000
ASN,Ascension Coin,QuBit,TRUE,PoW/PoS,0,0
AGS,Aegis,X13,TRUE,PoS,,0
AHT,Ahoolee,Ethash,TRUE,PoW,,100000000
ADA,Cardano,Ouroboros,TRUE,PoS,25927070538,45000000000
AKA,Akroma,Ethash,TRUE,PoW,,100000000
ADC,AudioCoin,Scrypt,TRUE,PoW/PoS,980732529,10500000000
ALEX,Alexandrite,SHA-256,TRUE,PoW/PoS,,1268000
ALN,AlienCoin,Scrypt,TRUE,PoW,,200000000
ADK,Aidos Kuneen,IMesh,TRUE,PoW,25000000,25000000
ADZ,Adzcoin,X11,TRUE,PoW,45110324,84000000
ALF,AlphaCoin,Scrypt,TRUE,PoW,,210182000
AX,AlphaX,Scrypt,TRUE,PoS,,2.00E+11
AMBER,AmberCoin,X11,TRUE,PoW/PoS,,1000000000
BET,BetaCoin,SHA-256,TRUE,PoW,0,32000000
AMC,AmericanCoin,Scrypt,TRUE,PoW,,168000000
AMX,Amero,NeoScrypt,TRUE,PoW/PoS,,15000000
VEO,Amoveo,SHA-256,TRUE,PoW,,0
AMY,Amygws,Scrypt,TRUE,PoW,,23333333
BIOS,BiosCrypto,Quark,TRUE,PoW/PoS,0,20190463.55
ALPS,Alpenschillling,Lyra2Z,TRUE,PoW,27340501.65,300000000
BBK,BitBlocks,Scrypt,TRUE,PoW/PoS,0,500000000
ANI,Animecoin,Quark,TRUE,PoW,,1976000000
FCTC,FaucetCoin,X13,FALSE,PoS,,10000
APT,Aptcoin,Scrypt-n,TRUE,PoW,,42000000
B2G,Bitcoiin2Gen,Ethash,TRUE,PoW,0,100000000
ALX,ALAX,DPoS,TRUE,DPoS,1000000000,1000000000
ARC,ArcticCoin,X11,TRUE,PoW,26042364.37,60000000
ARCO,AquariusCoin,Scrypt,TRUE,PoW/PoS,2449577.415,42000000
ARE,ARENON,X11,TRUE,PoS,19269509.94,55000000
ARG,Argentum,Scrypt,TRUE,PoW,12205795.44,64000000
BTCH,Bitcoin Hush,Equihash,TRUE,PoW,0,21000000
ARI,AriCoin,Scrypt,TRUE,PoW,,322649400
BCI,Bitcoin Interest,Equihash,TRUE,PoW,0,22300000
ARGUS,ArgusCoin,Scrypt,TRUE,PoW/PoS,1148324,28600000
BTCP,Bitcoin Private,Equihash,TRUE,PoW,0,21000000
ARM,Armory Coin,Scrypt,TRUE,PoW/PoS,,1990000000
BTCS,Bitcoin Scrypt,Scrypt,TRUE,PoW,0,21000000
ARQ,ArQmA,CryptoNight-lite,TRUE,PoW,,50000000
ARK,ARK,DPoS,TRUE,DPoS,108202084,125000000
ASAFE2,Allsafe,Quark,TRUE,PoS,10517772.74,15000000
ASTR,Astral,X13,TRUE,PoW/PoS,,37875500
HNCN,Huncoin,X13,FALSE,PoW,,86400000
ATMOS,Atmos,PoS,TRUE,PoS,111135836.9,110290030
ATX,ArtexCoin,X11,TRUE,PoW,824000000,500000000
AUK,Aukcecoin,Scrypt,TRUE,PoW/PoS,,80000000
AUR,Aurora Coin,Scrypt,TRUE,PoW/PoS,18135099.99,16768584
BCR,BitCredit,Momentum,TRUE,PoW,0,210000000
BDL,Bitdeal,Scrypt,TRUE,PoW,0,300000000
AV,Avatar Coin,PoS,TRUE,PoS,,10000000
ACN,AvonCoin,PoS,TRUE,PoS,,1000000000
BTMK,BitMark,Scrypt,TRUE,PoW,0,27580000
BIM,BitminerCoin,CryptoNight,FALSE,PoW,0,50000000
AWR,Award,X11,TRUE,PoW/PoS,15420234.54,420000000
AXE,Axe,X11,TRUE,PoW,4993030.697,21000000
AZART,Azart,X11,TRUE,PoW,5015881.373,25000000
NANAS,BananaBits,Scrypt,TRUE,PoW/PoS,,0
BBCC,BaseballCardCoin,Scrypt,TRUE,PoW/PoS,,19000000
XBS,Bitstake,X11,TRUE,PoW/PoS,0,1300000
BBP,BiblePay,Proof-of-BibleHash,TRUE,POBh,1772091550,5200000000
SAND,BeachCoin,X11,TRUE,PoW,,21000000
BCCOIN,BitConnect Coin,Scrypt,TRUE,PoW/PoS,11080722.38,28000000
BEAN,BeanCash,SHA-256,TRUE,PoW/PoS,,50000000000
BRDD,BeardDollars,Scrypt,TRUE,PoW/PoS,,21212121
BCD,Bitcoin Diamond,X13,TRUE,PoW/PoS,183534024.9,210000000
BCF,BitcoinFast,Scrypt,TRUE,PoW/PoS,20244023.64,33000000
BCH,Bitcoin Cash,SHA-256,TRUE,PoW,17995589.65,21000000
BLITZ,BlitzCoin,X13,TRUE,PoS,0,3852156
BCN,ByteCoin,CryptoNight,TRUE,PoW,1.84E+11,1.84E+11
BST,BlockStamp,SHA-256,TRUE,PoW,0,105000000
BNX,BnrtxCoin,X11,TRUE,PoW,0,210000000
BDX,Beldex,CryptoNight,TRUE,PoW,980222595,1400222610
BBR,Boolberry,X11,TRUE,PoW,0,18450000
MINRL,Minerals Coin,X11,FALSE,PoW/PoS,,1000000
BEAM,Beam,Equihash,TRUE,PoW,35687520,262800000
HUGE,BigCoin,Blake,TRUE,PoW,,164429865
BCO*,BridgeCoin,Scrypt,FALSE,PoW,0,27000000
BHC,BighanCoin,Quark,TRUE,PoW,,411000000
LFC,BigLifeCoin,X11,TRUE,PoW,,9900000000
BEET,Beetle Coin,XEVAN,TRUE,PoW/PoS,198938144.4,500000000
BENJI,BenjiRolls,Scrypt,TRUE,PoW,20276099.15,35520400
BIOB,BioBar,SHA-256D,TRUE,PoW/PoS,,60000000
C25,C25 Coin,SkunkHash,TRUE,PoW,0,6100000
BIPC,BipCoin,CryptoNight,TRUE,PoW,,18446744
CMPCO,CampusCoin,Scrypt,TRUE,PoW,0,1010000000
BIC,Bikercoins,CryptoNight,TRUE,PoW,9357088,25000000
BRONZ,BitBronze,Scrypt,TRUE,PoW,,4502400
BITG,Bitcoin Green,Green Protocol,TRUE,PoS,9803691.362,21000000
BITM,BitMoney,XEVAN,TRUE,Pos,208515864.4,70000000000
BEN,BitCOEN,SHA-256,TRUE,Limited Confidence Proof-of-Activity ,,100000000
BITS,BitstarCoin,Scrypt,TRUE,PoW/PoS,20576532,54256119
BCA,Bitcoin Atom,SHA-256,TRUE,PoW/PoS,,21000000
CAMC,Camcoin,X11,FALSE,PoW/PoS,,10000000
CDY,Bitcoin Candy,Equihash,TRUE,PoW,,21000000000
MARSC,MarsCoin,X11,FALSE,PoW,,33000000
BLAST,BLAST,SHA-256,TRUE,PoW,52293836.63,64000000
CASH,CashCoin,Scrypt,TRUE,PoW/PoS,0,47433600
CSH,CashOut,SHA-256,TRUE,PoW,0,100000000
BTCC,Bitcoin Core,SHA-256,TRUE,PoW,,21000000
CSTL,Castle,Quark,TRUE,DPoS,0,50000000
BLC,BlakeCoin,Blake,TRUE,PoW,23356790.15,7000000000
CBS,Cerberus,NeoScrypt,TRUE,PoW,0,31500000
BLHC,BlackholeCoin,Scrypt,TRUE,PoW/PoS,16362544.99,14788275.99
BITL,BitLux,X11,FALSE,PoW/PoS,,0
CHESS,ChessCoin,Scrypt,TRUE,PoW/PoS,0,74666667
CHIPS,CHIPS,SHA-256,TRUE,PoW,0,21000000
CIN,CinderCoin,Multiple,TRUE,PoW/PoS,0,114000000
BLRY,BillaryCoin,Scrypt,TRUE,PoW/PoS,8998743.241,42000000
BLTG,Block-Logic,Scrypt,TRUE,PoW,35284717.17,120000000
CLINT,Clinton,SHA-256,TRUE,PoW,0,2421227
BOLI,BolivarCoin,X11,TRUE,PoW,13654082.5,25000000
BRIA,Briacoin,Scrypt,TRUE,PoW/PoS,845637.8135,3000000
BSPM,Bitcoin Supreme,Scrypt,TRUE,PoS,,21000000
BRIT,BritCoin,X13,TRUE,PoW/PoS,21268092,30000000
BSC,BowsCoin,X11,TRUE,PoW,15863837.5,21000000
CYC,ConSpiracy Coin ,X11,TRUE,PoW,0,33000000
COOL,CoolCoin,Scrypt,TRUE,PoS,0,100000000
BSD,BitSend,X11,TRUE,PoW/PoS,24387724.5,139000000
BTCN,BitcoiNote,CryptoNight,TRUE,PoW,,21000000
CREA,CreativeChain,Keccak,TRUE,PoW,0,115000000
BSV,Bitcoin SV,SHA-256,TRUE,PoW,17992514.65,21000000
BSX,Bitspace,NIST5,TRUE,PoW/PoS,13787854.63,50000000
BTA,Bata,Scrypt,TRUE,PoW,5052555.92,5000000
BTB,BitBar,Scrypt,TRUE,PoW/PoS,42579.4769,500000
BTC,Bitcoin,SHA-256,TRUE,PoW,17927175,21000000
BTCR,BitCurrency,Scrypt,TRUE,PoS,169598616,0
BTCD,BitcoinDark,SHA-256,TRUE,PoW/PoS,1288862,22000000
BTCZ,BitcoinZ,Equihash,TRUE,PoW,5211553258,21000000000
BTLC,BitLuckCoin,PoS,TRUE,PoS,,5000000000
BTMI,BitMiles,Scrypt,TRUE,PoW,,4832660000
BTDX,Bitcloud 2.0,Quark,TRUE,PoW/PoS,30711550.53,200000000
CIRC,CryptoCircuits,vDPOS,TRUE,PoS,0,0
BM,BitMoon,X13,TRUE,PoS,,100000000
CRU,Curium,X11,TRUE,PoW,0,22000000
CC,CyberCoin,Scrypt,TRUE,PoW/PoS,0,0
DRKC,DarkCash,X11,TRUE,PoW/PoS,0,3720000
BTQ,BitQuark,Multiple,TRUE,PoW,,0
DSB,DarkShibe,Scrypt,TRUE,PoW,0,2043962
BTG,Bitcoin Gold,Equihash,TRUE,PoW,17202361.09,21000000
XSEED,BitSeeds,SHA-256,TRUE,PoW/PoS,,0
BTH,Bithereum,Equihash,TRUE,PoW,25150787.5,30886000
DSH,Dashcoin,CryptoNight,TRUE,PoW,0,18446744
BTL,Bitrolium,Equihash,TRUE,PoW,71355477,70000000
BTPL,Bitcoin Planet,Skein,TRUE,PoW/PoS,6804362,100000000
BTS,Bitshares,SHA-512,TRUE,PoS,2741570000,3600570502
BTT,BitTorrent,TRC10,TRUE,DPoS,9.90E+11,9.90E+11
BTX,Bitcore,Time Travel,TRUE,PoW,17801865.16,21000000
BTXC,Bettex coin,XEVAN,TRUE,PoS,6787405.18,50000000
VEG,BitVegan,PoS,TRUE,PoS,,600000000
BTV,Bitvote,CryptoNight,TRUE,PoW/PoS,,21000000
BTW,BitWhite,DPoS,TRUE,DPoS,,60000000
BURST,BurstCoin,Shabal256,TRUE,PoC,1813033920,2158812800
XBP,Black Pearl Coin,X13,TRUE,PoW/PoS,,50000000
DBG,Digital Bullion Gold,PoS,TRUE,PoS,0,15000000
BUZZ,BuzzCoin,SHA-256D,TRUE,PoW/PoS,19577787259,20000000000
BS,BlackShadowCoin,X11,TRUE,PoW/PoS,,2100000000
BVC,BeaverCoin,Scrypt,TRUE,PoW,3115258,3360000
BLAS,BlakeStar,Blake2S,TRUE,PoW/PoS,,2400000000
BWK,Bulwark,NIST5,TRUE,PoS,13247178.88,27716121
DIN,Dinero,NeoScrypt,TRUE,PoW,0,100000000
BLAZR,BlazerCoin,Scrypt,TRUE,PoW,,294336000
DOGED,DogeCoinDark,Scrypt,TRUE,PoW,0,16500000000
BWS,BitcoinWSpectrum,SHA-256,TRUE,PoS,57811001,100262205
BLU,BlueCoin,Scrypt,TRUE,PoW/PoS,635423900,0
BOG,Bogcoin,SHA-256,TRUE,PoW,,21212121
DOT,Dotcoin,Scrypt,TRUE,PoW,0,890000000
BXT,BitTokens,SHA-256,TRUE,PoW/PoS,595429,21000000
BOMBC,BombCoin,Scrypt,TRUE,PoW/PoS,,4516129032
BOSON,BosonCoin,X11,TRUE,PoW/PoS,,5000000000
CAP,BottleCaps,Scrypt,TRUE,PoW/PoS,,47433600
CARE,Carebit,Quark,TRUE,PoW/PoS,139739596.5,200000000
BQC,BQCoin,Scrypt,TRUE,PoW,,88000000
BRAIN,BrainCoin,X11,TRUE,PoW/PoS,,22000000
CAT,Catcoin,Scrypt,TRUE,PoW,7219956.646,21000000
CBX,CryptoBullion,Scrypt,TRUE,PoW/PoS,1039116.651,1000000
CCN,CannaCoin,Scrypt,TRUE,PoW,4703879.518,13140000
BUN,BunnyCoin,Scrypt,TRUE,PoW,,1.00E+11
CDN,Canada eCoin,Scrypt,TRUE,PoW,99843408.32,100000000
CESC,Crypto Escudo,Scrypt,TRUE,PoW,780210700,1000000000
CFC,CoffeeCoin,PoS,TRUE,PoS,148716816,39999898
UAEC,United Arab Emirates Coin,X11,FALSE,PoW/PoS,,10000000
ELC,Elacoin,Scrypt,TRUE,PoW,0,75000000
CACH,Cachecoin,Scrypt,TRUE,PoW,,2000000000
CAIX,CAIx,Scrypt,TRUE,PoS,,0
CF,Californium,SHA-256,TRUE,PoW,,2520000
CALC,CaliphCoin,SHA-256,TRUE,PoW,,135000000
CHAN,ChanCoin,Cloverhash,TRUE,PoW,18407259.09,30000000
CHAT,OpenChat,Scrypt,TRUE,PoW/PoS,1000000000,1000000000
ECAD,Canada eCoin,Scrypt,TRUE,PoW,,100000000
DEM,eMark,SHA-256,TRUE,PoW/PoS,0,0
CIF,Crypto Improvement Fund,X11,TRUE,PoW,211297638.5,500000000
CKC,Clockcoin,SHA-256,TRUE,PoW/PoS,16662820,525000000
CLO,Callisto Network,Ethash,TRUE,PoW,247612453,6500000000
CLUB, ClubCoin,Scrypt,TRUE,PoW/PoS,103621876.2,160000000
CNBC,Cash & Back Coin,Scrypt,TRUE,PoW/PoS,110976977.3,210000000
ERY,Eryllium,X11,TRUE,PoW/PoS,0,100000000
COAL,BitCoal,CryptoNight,TRUE,PoW,4500000,12500000
CON,Paycon,X13,TRUE,PoW/PoS,23042604,50000000
ETHO,ETHER-1,Ethash,TRUE,PoW,0,13666237
COVAL,Circuits of Value,Multiple,TRUE,PoW,1000000000,1200000000
CPC,CapriCoin,X11,TRUE,PoW/PoS,201364327.4,208000000
ETHS,EthereumScrypt,Scrypt,TRUE,PoW/PoS,0,4200000
CRB,Creditbit ,X11,TRUE,Proof of Trust,16901016.66,16504333
XCT,C-Bits,SHA-256,TRUE,PoW,,210000000
XCE,Cerium,SHA-256,TRUE,PoW/PoS,,2307925
CETI,CETUS Coin,Scrypt,TRUE,PoW/PoS,,0
EXCC,ExchangeCoin,Equihash,FALSE,PoW,0,32000000
CREDIT,Credit,Scrypt,TRUE,PoW/PoS,30825710000,74800000000
CHA,Charity Coin,Scrypt,TRUE,PoW,,500000
XFT,Fantasy Cash,Scrypt,TRUE,PoW/PoS,0,4600000
FCN,FantomCoin ,CryptoNight,TRUE,PoW,0,18400000
NDLC,NeedleCoin,X11,FALSE,PoS/PoW,,120000000
CHARM,Charm Coin,NeoScrypt,TRUE,PoW,,250000000
BSR,BitSoar Coin,X11,FALSE,PoS,3680297312,3980000000
FIBRE,FIBRE,NIST5,TRUE,PoW/PoS,0,624000
DGM,DigiMoney,X11,FALSE,PoW/PoS,3521630,25000000
CHILD,ChildCoin,X11,TRUE,PoW,,2000000
CNC,ChinaCoin,Scrypt,TRUE,PoW,,462500000
FRC,FireRoosterCoin,SHA-256,TRUE,PoW,0,2602410
MNB,MoneyBag,X11,FALSE,PoS,,50000000
CHIP,Chip,X11,TRUE,PoW,,0
KNG,BetKings,X11,FALSE,PoS,11359634.65,8148139
REL,Reliance,X11,FALSE,PoS,7256580,62000000
FLAP,Flappy Coin,Scrypt,TRUE,PoW,0,1.00E+11
CHOOF,ChoofCoin,Scrypt,TRUE,PoW/PoS,,40000000
OYS,Oyster Platform,X11,FALSE,PoS,,25000000
CINNI,CINNICOIN,Scrypt,TRUE,PoW,,15000000
DACASH,DACash,X11,FALSE,PoW,26709236.76,50000000
FLM,FOLM coin,PHI1612,FALSE,PoW,0,23001916
CIR,CircuitCoin,SHA-256D,TRUE,PoW/PoS,,3125000000
CRM,Cream,Skein,TRUE,PoW/PoS,47331802.48,100000000
CRW,Crown Coin,SHA-256,TRUE,PoW,22986929.09,42000000
CRYP,CrypticCoin,Equihash,TRUE,PoW,4235111504,7600000000
CLUD,CludCoin,Scrypt,TRUE,PoW,,100200000
COX,CobraCoin,Scrypt,TRUE,PoW/PoS,,1012941176
CRYPT,CryptCoin,X11,TRUE,PoW,4996986.206,18000000
FC2,Fuel2Coin,X11,TRUE,PoS,0,100000000
FJC,FujiCoin,Scrypt-n,TRUE,PoW,0,10000000
BTTF,Coin to the Future,PoS,TRUE,PoS,,1210000
CSC,CasinoCoin,Scrypt,TRUE,PoC,39999997300,40000000000
CSPN,Crypto Sports,Quark,TRUE,PoS,1934701.675,13370000
COLX,ColossusCoinXT,X11,TRUE,PoS,,21000000000
CMTC,CometCoin,Scrypt,TRUE,PoW,,2000000
COC,Community Coin,SHA-256,TRUE,PoW,,36129032
COMM,Community Coin,Scrypt,TRUE,PoW/PoS,,1000000000
CPN,CompuCoin,Scrypt,TRUE,PoW,,35000000
XSB,Extreme Sportsbook,X11,FALSE,PoS,,3000000
GBRC,GBR Coin,Scrypt,TRUE,PoW,0,87500000
XTNC,XtendCash,Wild Keccak,FALSE,PoW,,100000000
CNL,ConcealCoin,X11,TRUE,PoW,,8500000
CTC,CarterCoin,Scrypt,TRUE,PoW/PoS,43165500,90000000
XGS,GenesisX,XEVAN,FALSE,PoS,0,19000000
CQST,ConquestCoin,X13,TRUE,PoW/PoS,,30000000
AOP,Averopay,Tribus,FALSE,PoW/PoS,1859475.61,36500000
CCX,CoolDarkCoin,Scrypt,TRUE,PoW/PoS,,11052632
CLR,CopperLark,SHA-256,TRUE,PoW,,27200000
CORAL,CoralPay,X13,TRUE,PoS,,21000000
GIZ,GIZMOcoin,X11,TRUE,PoW/PoS,0,100000
CMC,CosmosCoin,Scrypt,TRUE,PoW/PoS,,100000000
CVNC,CovenCoin,SHA-256,TRUE,PoW/PoS,,33000
GLYPH,GlyphCoin,X11,TRUE,PoW/PoS,0,7000000
CRACK,CrackCoin,X11,TRUE,PoW,,6000000
CRAFT,Craftcoin,Scrypt,TRUE,PoW/PoS,,49411760
CRAIG,CraigsCoin,X11,TRUE,PoS,,30000000
XGB,GoldenBird,X13,TRUE,PoW/PoS,0,450000000
CVNG,Crave-NG,SHA-256,TRUE,PoS,,1000000000
GOLF,GolfCoin,SHA-256D,FALSE,PoW/PoS,0,1713134800
BASHC,BashCoin,Skein,FALSE,PoW/PoS,11661844.47,72000000
LIZ,Lizus Payment,Skein,FALSE,PoW/PoS,2985971,69000000
CTL,Citadel,CryptoNight-V7,TRUE,PoW,10969318.52,185000000
CTO,Crypto,Lyra2RE,TRUE,PoW,13742738,65789100
CXT,Coinonat,NIST5,TRUE,PoW,10123200,48252000
GMC,Gridmaster,Scrypt,TRUE,PoW,0,84000000
ARO,Arionum,SHA-512,FALSE,PoW,60045900,545399000
DAS,DAS,X11,TRUE,PoW,2622886,18900000
TWISTR,TWIST,SHA-512,FALSE,PoS,200000000,200000000
CROAT,Croat,CryptoNight,TRUE,PoW,,100467441
DASH,Dash,X11,TRUE,PoW/PoS,9031294.376,22000000
DASHP,Dash Platinum,X11,TRUE,PoS,715659.4424,19700000
HAL,Halcyon,X15,TRUE,PoW/PoS,0,0
XCR,Crypti,Multiple,TRUE,PoS,100000000,0
DAXX,DaxxCoin,Ethash,TRUE,PoW,520891780,10000000000
HMP,HempCoin,Scrypt-n,TRUE,PoW,0,5000000000
DBIC,DubaiCoin,SHA-256,TRUE,PoW/PoS,5129014,10500000
DBIX,DubaiCoin,Dagger-Hashimoto,TRUE,PoW,2232901,2232901
DCR,Decred,BLAKE256,TRUE,PoW/PoS,10365046.93,21000000
DCY,Dinastycoin,CryptoNight,TRUE,PoW,1809467143,2000000000
BUK,CryptoBuk,Scrypt,TRUE,PoW/PoS,,100000000
DEA,Degas Coin,Scrypt,TRUE,PoW/PoS,21358764,105000000
FCS,CryptoFocus,X11,TRUE,PoW/PoS,,0
CGA,Cryptographic Anomaly,Scrypt,TRUE,PoW,,10000000000
CJ,CryptoJacks,X13,TRUE,PoW/PoS,,500000000
HBC,HomeBlockCoin,X11,FALSE,PoW/PoS,0,28000000
COG,Cognitio,SHA-256D,FALSE,PoW/PoS,658584.4616,7500000
CJC,CryptoJournal,PoS,TRUE,PoS,,100000000
HTML,HTML Coin,SHA-256,TRUE,PoW/PoS,0,90000000000
DEAL,iDealCash,Scrypt,TRUE,PoW/PoS,1404157529,5121951220
HUC,HunterCoin,Multiple,TRUE,PoW,0,42000000
HUSH,Hush,Equihash,TRUE,PoW,0,21000000
CRPS,CryptoPennies,X11,TRUE,PoS,,1593.15
CRSP,CryptoSpots,DPoS,TRUE,DPoS,,0
ICOB,Icobid,Scrypt,TRUE,PoW/PoS,0,200000000
MN,Cryptsy Mining Contract,SHA-256,TRUE,PoW,,0
QBT,Cubits,SHA-256,TRUE,PoW/PoS,,300000000
CYG,Cygnus,X11,TRUE,PoW/PoS,,25885320
FUNK,Cypherfunks Coin,Scrypt,TRUE,PoW,,49275000000
CYP,CypherPunkCoin,QuBit,TRUE,PoW,6365285,0
DARK,Dark,SHA-256,TRUE,PoW/PoS,,12800000
MOOND,Dark Moon,Scrypt,TRUE,PoW/PoS,,420000000
DB,DarkBit,Scrypt,TRUE,PoW/PoS,,0
DGDC,DarkGold,X13,TRUE,PoW/PoS,,1000000
DKC,DarkKnightCoin,Scrypt,TRUE,PoW/PoS,,24000000
DANK,DarkKush,X13,TRUE,PoW/PoS,,3000000
DT,DarkToken,NIST5,TRUE,PoW/PoS,,0
DRKT,DarkTron,SHA-256,TRUE,PoW/PoS,,1500000
ICC,Insta Cash Coin,SHA-256,FALSE,PoW,0,300000000
DEV,Deviant Coin,PoS,TRUE,PoS,21876586.85,88000000
ISH,Interstellar Holdings,Scrypt,FALSE,PoS,0,1970000000
DASC,DasCoin,DPoS,TRUE,DPoS,,8589934592
DFT,Draftcoin,Scrypt,TRUE,PoS,18663297.35,17405891.2
ILT,iOlite,Ethash,TRUE,PoW,0,1000000000
DGB,DigiByte,Multiple,TRUE,PoW,11406219141,21000000000
DGC,Digitalcoin ,Scrypt,TRUE,PoW,33442988.34,48166000
DTEP,DECOIN,X11,TRUE,PoS,,140000000
DIEM,CarpeDiemCoin,SHA-256,TRUE,PoW,21739971929,21626280000
JUDGE,JudgeCoin,X13,TRUE,PoW/PoS,0,21600000
JBS,JumBucks Coin,X11,TRUE,PoW/PoS,0,3293010
DIGS,Diggits,Scrypt,TRUE,PoS,100000000,100000000
DKD,Dekado,X15,TRUE,PoS,30284196.37,90000000
DLC,DollarCoin,SHA-256,TRUE,PoW,9106714,10638298
DPAY,DelightPay,X13,TRUE,PoW/PoS,,90400000
DMD,Diamond,Groestl,TRUE,PoW/PoS,3304487.747,4380000
XNA,DeOxyRibose,X11,TRUE,PoS,,0
DERO,Dero,CryptoNight,TRUE,PoW,,18400000
DSR,Desire,NeoScrypt,TRUE,PoW,,22000000
DES,Destiny,Scrypt,TRUE,PoW/PoS,,212625
DNR,Denarius,NIST5,TRUE,PoW/PoS,4171382,10000000
DOPE,DopeCoin,Scrypt,TRUE,PoW,116845228,200000000
DP,DigitalPrice,X11,TRUE,PoW,35138975,100000000
DRZ,Droidz,QUAIT,TRUE,PoW/PoS,8568038.359,5060000
DTEM,Dystem,Quark,TRUE,PoS,7082392.247,21000000
DGMS,Digigems,Scrypt,TRUE,PoW,,50000000
DVC,DevCoin,SHA-256,TRUE,PoW,18773857500,21000000000
KTK,KryptCoin,Scrypt,TRUE,PoS,0,17000000
EAC,EarthCoin,Scrypt,TRUE,PoW,12539015187,13500000000
EB3,EB3coin,Scrypt,TRUE,PoW,64096052,4000000000
EBST,eBoost,Scrypt,TRUE,PoW,99990001.49,100000000
ECA,Electra,NIST5,TRUE,PoW/PoS,28399150208,30000000000
LEA,LeaCoin,SHA-256,TRUE,PoW,0,2000000000
LEAF,LeafCoin,Scrypt,TRUE,PoW,0,21000000000
XDQ,Dirac Coin,Blake,TRUE,PoW,,2272800
DIT,Ditcoin,CryptoNight,TRUE,PoW,,37000000
EDRC,EDRCoin,SHA-256,TRUE,PoW/PoS,3669691.845,22000000
LXC,LibrexCoin,X11,TRUE,PoW/PoS,0,1000000
LIMX,LimeCoinX,X11,TRUE,PoW,0,21000000
DGORE,DogeGoreCoin,X11,TRUE,PoW/PoS,,500000000
TRTK,TrollTokens,SHA-256,FALSE,PoW/PoS,,860000000
EFL,E-Gulden,Scrypt,TRUE,PoW,20910478.81,21000000
WRLGC,World Gold Coin,SHA-256,FALSE,PoW,,51000000
DLR,DollarOnline,X11,TRUE,PoW/PoS,,1000000000
DON,DonationCoin,Scrypt,TRUE,PoW,,90000000
EGC,EverGreenCoin,X15,TRUE,PoW/PoS,13530556.42,26298000
LBTC,LiteBitcoin,Scrypt,TRUE,PoW,0,1000000000
BOAT,Doubloon,536,TRUE,PoW/PoS,,500000000
ELE,Elementrem,Ethash,TRUE,PoW,26205539,26205539
XDB,DragonSphere,X11,TRUE,PoW/PoS,,21007600
EMIGR,EmiratesGoldCoin,SHA-256,FALSE,PoW,,4000000
DRM8,Dream8Coin,Scrypt,TRUE,PoW,,88800000000
LTCD,LitecoinDark,Scrypt,TRUE,PoW,0,82003200
ELLA,Ellaism,Ethash,TRUE,PoW,12756367,280000000
ELM,Elements,X11,TRUE,PoW,2702855669,1800000000
